measure,location,sex,age,cause,metric,year,val,upper,lower
1,1,3,22,591,2,1990,0.0032318934192792866,0.003851978947018606,0.002674219325894514
1,1,3,22,591,3,1990,2.7932806365681135,3.3182866585329585,2.309251161401437
1,1,3,22,591,1,1987,137473.05108937446,166159.1312786289,114237.90783468675
1,1,3,22,591,2,1987,0.0030446153587289555,0.003660191197178163,0.0025198739590013724
1,1,3,22,591,3,1987,2.710290101149169,3.2758380289911257,2.2522077478228986
1,1,3,22,591,1,1992,157749.2735079049,187172.97293417412,131365.8770677013
1,1,3,22,591,2,1992,0.003356012711034964,0.0039792633961194595,0.0027958802265644718
1,1,3,22,591,3,1992,2.869625514686774,3.404873612712824,2.389683731721224
1,1,3,22,591,1,1994,167755.57199969594,199210.3802269226,140705.16443185808
1,1,3,22,591,2,1994,0.0034291152049585613,0.004055248342388884,0.002871307729426959
1,1,3,22,591,3,1994,2.9688839170826316,3.525560951100317,2.490154543021482
1,1,3,22,591,1,1989,144462.74687309022,173327.46803384816,118745.06551804412
1,1,3,22,591,2,1989,0.0031584868509250295,0.003775961504419928,0.0026051170293994396
1,1,3,22,591,3,1989,2.7527638275146846,3.3027863213582713,2.2627087476129253
1,1,3,22,591,1,1991,152854.82435743677,181736.29832572813,126841.33180764921
1,1,3,22,591,2,1991,0.0032807292421091934,0.003906919032459664,0.002720142522359137
1,1,3,22,591,3,1991,2.822014793858624,3.355226271805643,2.3417521582235974
1,1,3,22,591,1,1997,185183.5471977999,217589.88451006913,156000.79785049194
1,1,3,22,591,2,1997,0.003774356631283911,0.00442378558148089,0.0031703810837341332
1,1,3,22,591,3,1997,3.1530927848613293,3.7048706825703395,2.65620244118988
1,1,3,22,591,1,1995,173671.98473224667,204973.28991297423,144866.6127759033
1,1,3,22,591,2,1995,0.003548231225388827,0.004176526722684113,0.0029747850584074605
1,1,3,22,591,3,1995,3.034069302027449,3.5809066592941137,2.5308361817232963
1,1,3,22,591,1,1998,192969.00021558622,226348.43578388792,162139.99966707625
1,1,3,22,591,2,1998,0.0039015760560712287,0.004548972951117518,0.003277707513238083
1,1,3,22,591,3,1998,3.244331255107748,3.8055299241743397,2.7260123026774545
1,1,3,22,591,1,1999,201363.57263811838,236917.63664493352,169709.99743343625
1,1,3,22,591,2,1999,0.004034317851288523,0.004712131091022227,0.003400516497794525
1,1,3,22,591,3,1999,3.343308198358996,3.933624471166638,2.817753073851069
