measure,location,sex,age,cause,metric,year,val,upper,lower
1,1,3,22,495,1,2009,2966926.942723557,3134559.959859176,2736046.1318970085
1,1,3,22,495,2,2009,0.05657828041394367,0.05968573967979097,0.051924857512800814
1,1,3,22,495,3,2009,43.242969374491764,45.686221118161264,39.877880841989786
1,1,3,22,495,1,2010,3017510.817581168,3188357.893685593,2775966.111595324
1,1,3,22,495,2,2010,0.056861251020198726,0.05985559583284171,0.05215380711970096
1,1,3,22,495,3,2010,43.41269962041279,45.87066356630262,39.937614227257455
1,1,3,22,495,1,2011,3023940.1538064075,3205320.94047407,2766658.279005811
1,1,3,22,495,2,2011,0.05683714805824706,0.060224411001813735,0.05202407413150397
1,1,3,22,495,3,2011,42.966851582178776,45.54407234192113,39.311160144163104
1,1,3,22,495,1,2012,3042036.4559083646,3243814.0160823003,2794828.3521441603
1,1,3,22,495,2,2012,0.05708713145297697,0.06073682288371304,0.05226347700891145
1,1,3,22,495,3,2012,42.68727045628268,45.518707031089136,39.21833136323805
1,1,3,22,495,1,2013,3089764.1404203954,3297633.784567566,2805328.8501159074
1,1,3,22,495,2,2013,0.05747687904751359,0.061232861393714276,0.052297087306890123
1,1,3,22,495,3,2013,42.816943202840456,45.69753289918959,38.87533176702591
1,1,3,22,495,1,2015,3193859.4611628703,3423133.0837544533,2919367.9761190424
1,1,3,22,495,2,2015,0.05834448241691938,0.062048174332129724,0.05325312729764191
1,1,3,22,495,3,2015,43.18120535225844,46.28100091288678,39.470061099590474
1,1,3,22,495,1,2014,3145674.0703818235,3373316.355729789,2861353.941335083
1,1,3,22,495,2,2014,0.05792527955979054,0.06179870073993571,0.052611162799494626
1,1,3,22,495,3,2014,43.05530587098638,46.171079471662445,39.16377424771813
1,1,3,22,495,1,2016,3265288.09518982,3480527.067784334,2945319.38937529
1,1,3,22,495,2,2016,0.05900982114460025,0.06263117149918279,0.05344013494185489
1,1,3,22,495,3,2016,43.6150302162692,46.490015215987164,39.34115165929915
1,1,3,22,495,1,2018,3397287.457741537,3661846.2883408032,3054344.3663870287
1,1,3,22,495,2,2018,0.06024276420425906,0.06409307712683235,0.05445715451109731
1,1,3,22,495,3,2018,44.33927756061231,47.792134455109554,39.86339817030291
1,1,3,22,495,1,2017,3328395.204816826,3587060.4292511838,3021829.8768984526
1,1,3,22,495,2,2017,0.05962984146241697,0.06342640872956999,0.05389095404822785
1,1,3,22,495,3,2017,43.93599312977421,47.35046551791262,39.889222445284545
1,1,3,22,495,1,2019,3469974.8946007243,3721258.9455314702,3136984.0452872156
1,1,3,22,495,2,2019,0.06090423808726484,0.06457561954185465,0.05486800380466607
1,1,3,22,495,3,2019,44.80087459414966,48.04520505624475,40.5016269816362
1,1,3,22,495,1,1996,2603682.227750031,2751995.235842295,2399945.7035139026
1,1,3,22,495,2,1996,0.053135641532986354,0.056038690856110566,0.04901745659773691
